Czynność,Gdzie,Polecenie
,PrzydzielonyHost,docker build . -t myapp:0.6
,Kontener,docker run -it myapp:0.6
,Kontener,"mvn compile
# Nie powinno niczego ściągać z internetu
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,exit
,PrzydzielonyHost,docker run -it myapp:0.6 mvn compile
,PrzydzielonyHost,docker tag myapp:0.6 myapp:latest
,-,Docker - Budowanie obrazów ENTRYPOINT
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,"vim Dockerfile
# Przejście do trybu edycji klawisz `a`
# Wpisz treść:

FROM alpine
RUN apk add openjdk8 maven
WORKDIR /data
COPY . /data
COPY .m2 /root/.m2
ENTRYPOINT [""mvn""]

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,docker build . -t myapp:0.7
,PrzydzielonyHost,docker run -t myapp:0.7 compile
,PrzydzielonyHost,docker run -t myapp:0.7 test
,PrzydzielonyHost,docker run -t myapp:0.7 verify
,-,Docker - uruchamianie alias
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,docker tag myapp:0.7 myapp:latest
,PrzydzielonyHost,docker run -t myapp compile
,PrzydzielonyHost,docker run -t myapp test
,PrzydzielonyHost,docker run -t myapp verify
,PrzydzielonyHost,"alias myapp='docker run -t myapp'
# jeżeli chcesz mieć to na stałe to dopisz do pliku ~/.profile"
,PrzydzielonyHost,myapp compile
,PrzydzielonyHost,myapp verify
,PrzydzielonyHost,myapp test
,PrzydzielonyHost,myapp compile && myapp test && myapp verify
,PrzydzielonyHost,unalias myapp
,-,Docker - budowanie tagowanie wersji z GIT
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,"git log

# Aby wyjść wciśnij klawisz `q`"
,PrzydzielonyHost,git log -1
,PrzydzielonyHost,git log -1 --format='%h'
,PrzydzielonyHost,"man git-log
# Około 814 linii (numer linii w pasku statusu na dole)
# Używaj klawisza `page down` do przesuwania tekstu o stronę (`cmd+strzałka w dół` na macOS)
# Wychodzi się za pomocą klawisza `q`"
,PrzydzielonyHost,"git log --format='""%h"", ""%aI"", ""%ae"", ""%an""'"
,PrzydzielonyHost,docker build . -t myapp:$(git log -1 --format='%h')
,PrzydzielonyHost,docker images
,PrzydzielonyHost,docker tag myapp:$(git log -1 --format='%h') myapp:latest
,PrzydzielonyHost,docker images
,PrzydzielonyHost,docker run -t myapp --version
,PrzydzielonyHost,docker run -t myapp compile
,PrzydzielonyHost,docker run -t myapp test
,PrzydzielonyHost,docker run -t myapp verify
,-,Docker - usunięcie kontenerów z historii
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,docker ps
,PrzydzielonyHost,docker ps -a
,PrzydzielonyHost,docker ps -aq
,PrzydzielonyHost,"docker rm $(docker ps -aq)
# Polecenie nie usunie obecnie działających kontenerów
# W tym przypadku rzuci error: You cannot remove a running container"
,PrzydzielonyHost,docker ps -a
,-,Docker - usunięcie image z historii
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,df -h
,PrzydzielonyHost,docker images
,PrzydzielonyHost,docker images -q
,PrzydzielonyHost,"docker rmi $(docker images -q)
# Polecenie nie usunie obecnie działających kontenerów
# W tym przypadku rzuci error: image is being used by running container"
,PrzydzielonyHost,df -h
,PrzydzielonyHost,docker images
,PrzydzielonyHost,docker rmi -f myapp:0.1 myapp:0.2 myapp:0.3 myapp:0.4 myapp:0.5 myapp:0.6 myapp:0.7 myapp:latest
,PrzydzielonyHost,docker rmi -f myapp:$(git log -1 --format='%h')
,PrzydzielonyHost,df -h
,-,GIT - Zapis konfiguracji
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,"cat Dockerfile

# Na ekranie powinno się wyświetlić:

FROM alpine
RUN apk add --no-cache openjdk8 maven
WORKDIR /data
COPY . /data
COPY .m2 /root/.m2
ENTRYPOINT [""mvn""]"
,PrzydzielonyHost,ls -la
,PrzydzielonyHost,"rm -fr target/
# Wykonać to polecenie jeżeli w naszym katalogu znajduje się target/"
,PrzydzielonyHost,git status
,PrzydzielonyHost,git add Dockerfile
,PrzydzielonyHost,"git status

# W sekcji Changes to be committed powinien być jeden plik:
# modified:   Dockerfile
# jeżeli jest więcej, to znaczy że coś jest nie tak i trzeba przeczyścić repozytorium (zapytaj trenera)"
,PrzydzielonyHost,"git commit -m ""Dockerfile"""
,PrzydzielonyHost,git pull --rebase
,PrzydzielonyHost,"git push

# username: root
# hasło: abcdefghi"
,Przeglądarka,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `Dockerfile`"
,-,Jenkins - Budowanie w kontenerach Docker
,PrzydzielonyHost,cd /home/src/java/ && clear
,Jenkins,https://github.com/jenkinsci/docker/blob/master/README.md#usage-1
,Jenkins,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:8080/manage

Następnie przejdź do ""Manage Plugins"" [górny rząd na środku]
- Available [druga zakładka]
- Wpisać w wyszukiwarke na górze ""Docker Pipeline""
- Zaznacz i zainstaluj ""Download now and install after restart""
- Po dwóch minutach odśwież stronę z Jenkinsem
- Wejdź na Blue Ocean [w menu po lewej]"
,Jenkins,Wchodzimy na ekran z podsumowaniem wyniku budowania -> [prawy górny róg] kliknąć Ołówek [edit]
,Jenkins,Klikamy na kropkę Build
,Jenkins,"Z menu po prawej, na samym dole jest Settings"
,Jenkins,"Z menu, które się rozwinęło wybieramy:
- Agent: docker
- Image: alpine

[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,"Build powinien się nie powieść, ze względu na błąd w Stage Build w kroku `docker pull alpine`
Komunikat błędu na końcu drugiej linii `docker: not found`"
,PrzydzielonyHost,clear
,PrzydzielonyHost,docker exec -u root jenkins apk add docker
,Jenkins,Wchodzimy na ekran z podsumowaniem wyniku budowania -> Restart Build [po prawej]
,Jenkins,"Build powinien się nie powieść, ze względu na błąd w Stage Build w kroku `docker pull alpine`
Komunikat błędu na początku trzeciej linii `Cannot connect to the Docker daemon at unix:///var/run/docker.sock`"
,PrzydzielonyHost,docker exec -it jenkins sh
,PrzydzielonyHost,ls -ls /var/run/docker.sock
,PrzydzielonyHost,docker stop jenkins
,PrzydzielonyHost,history |grep jenkins
,PrzydzielonyHost,docker run -d -p 8080:8080 --name jenkins  --network ecosystem --rm -v /home/jenkins:/var/jenkins_home -v /var/run/docker.sock:/var/run/docker.sock jenkins/jenkins:alpine
,Jenkins,Wchodzimy na ekran z podsumowaniem wyniku budowania -> Restart Build [po prawej]
,Jenkins,"Build powinien się nie powieść, ze względu na błąd w Stage Build w kroku `docker pull alpine`
Komunikat błędu na końcu drugiej linii `docker: not found
`"
,PrzydzielonyHost,docker exec -u root jenkins apk add docker
,Jenkins,Wchodzimy na ekran z podsumowaniem wyniku budowania -> Restart Build [po prawej]
,Jenkins,"Build powinien się nie powieść, ze względu na błąd w Stage Build w kroku `docker pull alpine`
Komunikat błędu w trzeciej linii `Got permission denied while trying to connect to the Docker daemon socket at unix:///var/run/docker.sock`"
,PrzydzielonyHost,"docker exec jenkins whoami
# jenkins"
,PrzydzielonyHost,"ls -la /var/run/docker.sock
# Powinno zwrócić:
# srw-rw---- 1 root docker 0 Dec 21 10:49 /var/run/docker.sock"
,PrzydzielonyHost,"sudo chmod 666 /var/run/docker.sock
sudo chmod o+rw /var/run/docker.sock

# Takie podejście może być tylko na czas szkolenia, aby nie tracić czasu
# Na produkcji można lepiej zmienić uprawnienia, lub dodać usera do grupy"
,Jenkins,Wchodzimy na ekran z podsumowaniem wyniku budowania -> Restart Build [po prawej]
,Jenkins,"Build powinien się nie powieść, ze względu na błąd w Stage Build w kroku `mvn compile`
Komunikat błędu na końcu drugiej linii `mvn: not found`"
,PrzydzielonyHost,"docker exec -u root jenkins apk add maven

# Tym razem to polecenie nie rozwiąże problemu
# Buildy są na innej maszynie (czystym alpine)"
,Przeglądarka,Na https://hub.docker.com poszukać maven
,Przeglądarka,"# Na image maven przejść na zakładkę tag i przefiltrować w poszukiwaniu 3-openjdk-8
# Alternatywnie wejść na https://hub.docker.com/_/maven?tab=tags&name=3-openjdk-8"
,Jenkins,Wchodzimy na ekran z podsumowaniem wyniku budowania -> [prawy górny róg] kliknąć Ołówek [edit]
,Jenkins,Klikamy na kropkę Build
,Jenkins,"Z menu po prawej, na samym dole jest Settings"
,Jenkins,"Z menu, które się rozwinęło wybieramy:
- Agent: docker
- Image: maven:3-openjdk-8

[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,"Build powinien się powieść
Wchodzimy na ekran z podsumowaniem wyniku budowania -> Stage Build -> Rozwiń kroki"
,Przeglądarka,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `Jenkinsfile`"
,-,Jenkins - Buduj wszystkie stage na Docker
,PrzydzielonyHost,cd /home/src/java/ && clear
,Jenkins,Wchodzimy na ekran z podsumowaniem wyniku budowania -> [prawy górny róg] kliknąć Ołówek [edit]
,Jenkins,"Klikamy na szarą kropkę ""Start"" i z menu po prawej wybieramy:
- (to jest edycja agenta dla wszystkich stage w całym Pipeline)
- Agent: docker
- Image: maven:3-openjdk-8

Usuń także zmienną środowiskową JAVA_HOME

# Wcześniej ustawiliśmy konfigurację, tylko dla jednego Stage
# W tym kroku ustawiliśmy dla wszystkich stage
# I możemy przywrócić domyślne wartości dla Build

Klikamy na kropkę Build:
- W menu po prawej, na samym dole jest Settings
- Agent: any

[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,"Build powinien się powieść
Wchodzimy na ekran z podsumowaniem wyniku budowania -> Stage Build -> Rozwiń kroki"
,Przeglądarka,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `Jenkinsfile`"
,-,Docker - Przygotowanie obrazu dla naszego środowiska budowania i testów
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,cp -r /home/ubuntu/.m2 /home/src/java/.m2
,PrzydzielonyHost,sudo chown -R ubuntu /home/src/java/.m2
,PrzydzielonyHost,git pull
,PrzydzielonyHost,"vim Dockerfile
# Zwróć uwagę, żeby nie było:
# - ENTRYPOINT (inaczej Jenkins nie działa)
# - COPY . /data (to nie jest nam potrzebne)

# Przejście do trybu edycji klawisz `a`
# Wpisz treść:

FROM alpine:3.14
RUN apk add --no-cache openjdk8 maven
WORKDIR /data
COPY .m2 /root/.m2

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,docker ps -a
,PrzydzielonyHost,docker images
,PrzydzielonyHost,df -h
,PrzydzielonyHost,docker build . -t myapp:cicd
,PrzydzielonyHost,"docker images
# Powinno zawierać myapp z tagiem cicd"
,Jenkins,"Wchodzimy na ekran z podsumowaniem wyniku budowania
-> [prawy górny róg] kliknąć Ołówek [edit]

Edytujemy szarą kropkę ""Start"" i w menu po prawej zmieniamy:
- Image: myapp:cicd

[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,Build powinien się udać
,PrzydzielonyHost,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `Jenkinsfile`"
,-,Docker - Przygotowanie obrazu dla naszego środowiska budowania i testów (optymalizacja)
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,mv Dockerfile Dockerfile.cicd
,PrzydzielonyHost,cp Dockerfile.cicd Dockerfile.runtime
,PrzydzielonyHost,"vim Dockerfile.runtime

# Przejście do trybu edycji klawisz `a`
# Wpisz treść:

FROM alpine:3.14
RUN apk add --no-cache openjdk8 maven
WORKDIR /data
COPY . /data
COPY .m2 /root/.m2
ENTRYPOINT [""mvn""]

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,"cat Dockerfile.cicd

# Na ekranie powinno się wypisać:

FROM alpine:3.14
RUN apk add --no-cache openjdk8 maven
COPY .m2 /root/.m2"
,PrzydzielonyHost,"cat Dockerfile.runtime

# Na ekranie powinno się wypisać:

FROM alpine:3.14
RUN apk add --no-cache openjdk8 maven
WORKDIR /data
COPY . /data
COPY .m2 /root/.m2
ENTRYPOINT [""mvn""]"
,-,Jenkins/Docker - Debugging
,PrzydzielonyHost,cd /home/src/java/ && clear
,Jenkins,"Wchodzimy na ekran z podsumowaniem wyniku budowania
-> [prawy górny róg] kliknąć Ołówek [edit]

Edytujemy stage Build i w menu po prawej zmieniamy:
- Step -> Shell Script (mvn compile) -> i wpisujemy: mvn compile && sleep 3600

[na górze] klikamy ""Save""
[na środku]  ""Save & run""

Build powinien ""zawiesić"" na 3600 sekund (1 godzinę)
W tym czasie można wejść na maszynę i dokonać inspekcji lub naprawy
To bardzo dobry sposób debuggingu problemów z CI/CD"
,PrzydzielonyHost,docker ps |grep myapp
,PrzydzielonyHost,"docker exec -it 17e965dd3be4 sh
# Zamiast 17e965dd3be4 podstaw ID kontenera, podpatrzone w `docker ps`"
,Kontener,hostname
,Kontener,pwd
,Kontener,id
,Kontener,whoami
,Kontener,grep 1000 /etc/passwd
,Kontener,cat /etc/passwd
,Kontener,env |sort
,Kontener,find / -name *.jar
,Kontener,ls /root
,Kontener,ls /root/.m2
,Kontener,echo $HOME
,Kontener,mvn compile -X
,Kontener,mvn test -X
,Kontener,mvn verify -X
,Kontener,"mvn help:evaluate -Dexpression=settings.localRepository

# https://mkyong.com/maven/where-is-maven-local-repository/
# http://maven.apache.org/settings.html

# Wynik /var/jenkins_home/workspace/matth-java_master/?/.m2/repository"
,-,Jenkins/Docker - Optymalizacja
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,"vim Dockerfile.cicd

# Przejście do trybu edycji klawisz `a`
# Wpisz treść:

FROM alpine:3.14
RUN apk add --no-cache openjdk8 maven
RUN adduser cicd -D -u 1000 -h /home
COPY .m2 /home/.m2

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,docker build . -f Dockerfile.cicd -t myapp:cicd
,Jenkins,"Wchodzimy na ekran z podsumowaniem wyniku budowania
-> [prawy górny róg] kliknąć Ołówek [edit]

Edytujemy stage Build i w menu po prawej zmieniamy:
- Step -> Shell Script (mvn compile) -> i wpisujemy: mvn compile

[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,"# Build powinien przestać się zawieszać
# Po około 30 sekundach powinien się powieść (zielony kolor)"
,Przeglądarka,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `Jenkinsfile`"
,PrzydzielonyHost,git add Dockerfile.cicd Dockerfile.runtime
,PrzydzielonyHost,git rm Dockerfile
,PrzydzielonyHost,"git commit -m ""Dockerfile"""
,PrzydzielonyHost,git pull --rebase && git push
,-,SonarQube - instalacja
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,"docker network create ecosystem

# Jeżeli wcześniej był stworzony network (a go robiliśmy)
# To powinna się pojawić informacja:
# ""Error response from daemon: network with name ecosystem already exists"""
,PrzydzielonyHost,docker volume create --name sonarqube_data
,PrzydzielonyHost,docker volume create --name sonarqube_extensions
,PrzydzielonyHost,docker volume create --name sonarqube_logs
,PrzydzielonyHost,"docker run \
    --name sonarqube \
    --detach \
    --rm \
    --network ecosystem \
    --publish 9000:9000 \
    --volume sonarqube_data:/opt/sonarqube/data \
    --volume sonarqube_logs:/opt/sonarqube/logs \
    --volume sonarqube_extensions:/opt/sonarqube/extensions \
    sonarqube"
,PrzydzielonyHost,docker ps
,PrzydzielonyHost,sudo ls /var/lib/docker/volumes
,PrzydzielonyHost,docker exec sonarqube cat /etc/os-release
,PrzydzielonyHost,docker images
,Przeglądarka,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:9000/
- Username: admin
- Password: admin"
,Przeglądarka,Zmień hasło na abcdefghi
,-,SonarQube - analiza manualna
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,"vim /home/src/java/sonar-project.properties

# Przejście do trybu edycji klawisz `a`
# Wpisz treść:


## SonarQube
sonar.host.url=http://sonarqube:9000/
sonar.login=admin
sonar.password=abcdefghi

## Project
sonar.projectKey=myjavaproject

## Language
sonar.language=java
sonar.java.source=8

## Paths
sonar.projectBaseDir=/usr/src/
sonar.sources=src/main/java
sonar.exclusions=**/migrations/**
sonar.java.binaries=target/classes
sonar.working.directory=/tmp/

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,"cat /home/src/java/sonar-project.properties
# Upewnij się czy zawartość jest poprawna"
,PrzydzielonyHost,mvn compile
,PrzydzielonyHost,mvn test
,PrzydzielonyHost,mvn verify
,PrzydzielonyHost,"docker run --rm --network ecosystem -v /home/src/java:/usr/src sonarsource/sonar-scanner-cli

# Jeżeli wyskakuje error: no 'target/classes' to znaczy, że nie wykonano compile wcześniej"
,Przeglądarka,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:9000/
- Odśwież stronę
- Na dashboard w SonarQube pojawił się ""myjavaproject"""
,-,SonarQube - Security
,PrzydzielonyHost,cd /home/src/java/
,Przeglądarka,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:9000
- Administration [z paska u góry]
- Security [zakładka]
- Users"
,SonarQube,"Create User [prawy górny róg]
- Login: myusername
- Name: myusername
- Email: [pusty]
- Password: abcdefghi
- Przycisk Create

# Zwróć uwagę na wielkość liter, bo SonarQube to rozróżnia"
,SonarQube,"Project (z paska u góry) -> myproject -> Project Settings (po prawej u góry) -> Permissions
# http://$PRZYDZIELONE_IP:9000/project_roles?id=myjavaproject"
,SonarQube,"Wyszukujemy użytkownika myproject i zaznaczamy tylko jednego checkboxa ""Execute Analysis"""
,PrzydzielonyHost,"vim /home/src/java/sonar-project.properties
# Przejście do trybu edycji klawisz `a`
# Wpisz treść:

sonar.login=myusername
sonar.password=abcdefghi

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,sudo chown -R ubuntu:ubuntu /home/src
,PrzydzielonyHost,mvn compile
,PrzydzielonyHost,mvn test
,PrzydzielonyHost,mvn verify
,PrzydzielonyHost,docker run --rm --network ecosystem -v /home/src/java:/usr/src sonarsource/sonar-scanner-cli
,-,SonarQube - token
,PrzydzielonyHost,cd /home/src/java/
,SonarQube,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:9000
- Administration [z paska u góry]
- Security [zakładka]
- Users"
,SonarQube,Na liście użytkowników kliknij ikonę trzech kresek (po prawej) w kolumnie Token dla usera myproject
,SonarQube,"Generate Tokens
- Enter Token Name: MyProject SonarScanner AWS Terminal
- Przycisk Generate
- Skopiuj wygenerowany token
- Pamiętaj, że jak odświeżysz albo przeładujesz stronę, to token zniknie i nie będzie nigdy wyświetlany
- Tokeny są do użytku tylko w jednym miejscu, np. w procesie uploadu wyników do SonarQube"
,PrzydzielonyHost,"vim /home/src/java/sonar-project.properties
# Przejście do trybu edycji klawisz `a`

# Usuń linie sonar.login i sonar.password, które były wcześniej
# To jest ważne, jeżeli nie usuniesz sonar.password z trzeciej linijki, to nie będzie działać
# Następnie wpisz treść:

sonar.login=<tu wklej token>

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,docker run --rm --network ecosystem -v /home/src/java:/usr/src sonarsource/sonar-scanner-cli
,-,GIT - zapisanie konfiguracji
,PrzydzielonyHost,cd /home/src/java/
,PrzydzielonyHost,git status
,PrzydzielonyHost,git add sonar-project.properties
,PrzydzielonyHost,"git status
# W sekcji Changes to be committed powinno być:
- new file:   sonar-project.properties

# jeżeli jest więcej, to znaczy że coś jest nie tak i trzeba przeczyścić repozytorium (zapytaj trenera)
# Trzeba będzie go usunąć za pomocą ``git rm -fr NAZWA_PLIKU``"
,PrzydzielonyHost,"git commit -m ""Sonar Properties"""
,PrzydzielonyHost,"git pull --rebase

# username: root
# hasło: abcdefghi"
,PrzydzielonyHost,"git push

# username: root
# hasło: abcdefghi"
,Gitea,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `sonar-project.properties`"
,-,SonarQube - analiza automatyczna w Jenkins
,Jenkins,Wchodzimy na ekran z podsumowaniem wyniku budowania -> [prawy górny róg] kliknąć Ołówek [edit]
,Jenkins,"Dodaj nowy stage na prawo od Test i nazwij go ""Static Code Analysis""
Add Step -> ""shell script"" -> wpisujemy: echo ""static code analysis...""

[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,Build powinien się udać
,Jenkins,"Wchodzimy na ekran z podsumowaniem wyniku budowania
-> [prawy górny róg] kliknąć Ołówek [edit]

Edytujemy stage o nazwie ""Static Code Analysis""
Edytuj krok ""shell script"" -> zmień zawartość

docker run --rm --network ecosystem -v $(pwd):/usr/src sonarsource/sonar-scanner-cli"
,Jenkins,"# Build powinien się nie powieść

# Ze względu na błąd w Stage Static Code Analysis w kroku:
# `docker run --rm --network ecosystem -v $(pwd):/usr/src sonarsource/sonar-scanner-cli`

# Komunikat błędu w na końcu trzeciej linii `docker: not found`"
,PrzydzielonyHost,docker exec -u root jenkins apk add openjdk8 maven
,Jenkins,"Wchodzimy na ekran z podsumowaniem wyniku budowania
-> [prawy górny róg] kliknąć Ołówek [edit]

Kliknij szarą kropkę ""Start""
- W menu po prawej
- Zmień z `Agent docker myapp` na `Agent any`
- Dodaj zmienną środowiskową: JAVA_HOME i ustaw ją na /usr/lib/jvm/java-1.8-openjdk/

Kliknij w kropkę ""Static Code Analysis""
- Dodaj step ""Shell Scrip"" o treści ""mvn compile""
- Przenieś go powyżej kroku ""docker run ...""

- [na górze] klikamy ""Save""
- [na środku]  ""Save & run"""
,Jenkins,Build powinien się udać
,-,SonarQube - Build Breaker (plugin jest teraz deprecated)
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,"vim /home/src/java/sonar-project.properties

# Przejście do trybu edycji klawisz `a`
# Dopisz na koniec sekcję:

## Build Breaker
sonar.buildbreaker.skip=false
sonar.buildbreaker.queryInterval=10000
sonar.buildbreaker.queryMaxAttempts=1000

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,"cat /home/src/java/sonar-project.properties
# Upewnij się czy zawartość jest jak poniżej:

## SonarQube
sonar.host.url=http://sonarqube:9000/
sonar.login=admin
sonar.password=abcdefghi

## Project
sonar.projectKey=myjavaproject

## Language
sonar.language=java
sonar.java.source=8

## Paths
sonar.projectBaseDir=/usr/src/
sonar.sources=src/main/java
sonar.exclusions=**/migrations/**
sonar.java.binaries=target/classes
sonar.working.directory=/tmp/

## Build Breaker
sonar.buildbreaker.skip=false
sonar.buildbreaker.queryInterval=10000
sonar.buildbreaker.queryMaxAttempts=1000"
,Przeglądarka,Wejdź na sonarqube http://$PRZYDZIELONE_IP:9000/
,SonarQube,"W Administration (w menu u góry) -> Marketplace (zakładka) -> Wyszukaj pluginu ""Build Breaker"" -> Install"
,SonarQube,"Na górze w pasku ""SonarQube needs to be restarted in order to
install 1 plugins"" -> kliknij restart server -> następnie zaczekaj około minuty i odśwież stronę"
,,"W Administration -> Marketplace ->Zakładka Installed -> Tu powinien być ""Build Breaker"""
,SonarQube,"W Administration (w pasku u góry)
-> Configuration (zakładka)
-> General Settings (z menu rozwijanego)
-> Build Breaker (z menu po lewej)
Upewnij się, że wszystko jest ok "
,SonarQube,"Z menu u góry wybieramy Quality Gates
-> Create (przycisk po lewej u góry)
-> Name: My Quality Gate
-> Add Condition (przycisk po prawej u góry)
-> wybierz `On Overall Code`
-> Quality Gate fails when `Technical Debt` is greater than `1`
-> przycisk Add Condition"
,SonarQube,"W sekcji ""Projects"" (poniżej sekcji Conditions, którą właśnie edytowałeś/aś)
na zakładce ""All"" zaznacz ""myjavaproject"" aby aktywować Quality Gate w projekcie
Upewnij się, że ""myjavaproject"" ma zaznaczony checkbox"
,Jenkins,"Uruchom Build ponownie, który powinien sfailować
(powód: niespełnienie Quality Gate - Project does not pass the quality gate.)
# Błąd będzie około 115 linii w pierwszej linii Exception
# W liniach 105,106,107 jest informacja o warunkach, których nie spełnił"
,SonarQube,"Zmień w Quality Gate ""Technical Debt"" na 50"
,Jenkins,"Uruchom Build ponownie
Konieczne jest uruchomienie całego budowania, a nie tylko tego jednego kroku.
Inaczej analiza SonarScanner zakończy się błędem, że brakuje `target/classes`
Tym razem powinien przejść"
,Gitea,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `sonar-project.properties`"
,-,PITest - uruchamianie manualne
,PrzydzielonyHost,cd /home/src/java/
,PrzydzielonyHost,"vim pom.xml
# Przejście do trybu edycji klawisz `a`
# W sekcji <project><build><plugins>
# Dopisz treść:

        <plugin>
            <groupId>org.pitest</groupId>
            <artifactId>pitest-maven</artifactId>
            <version>1.6.1</version>
            <dependencies>
                <dependency>
                    <groupId>org.pitest</groupId>
                    <artifactId>pitest-junit5-plugin</artifactId>
                    <version>0.12</version>
                </dependency>
            </dependencies>
        </plugin>

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,"Gdyby był error: Failed to execute goal org.pitest:pitest-maven:1.6.1:mutationCoverage (default-cli) on project my-app: Execution default-cli of goal org.pitest:pitest-maven:1.6.1:mutationCoverage failed: Coverage generation minion exited abnormally!

To należy skasować sekcję dependencies z pluginu org.pitest


vim pom.xml
# Przejście do trybu edycji klawisz `a`
# W sekcji <project><build><plugins>
# Dopisz treść:

        <plugin>
            <groupId>org.pitest</groupId>
            <artifactId>pitest-maven</artifactId>
            <version>1.6.1</version>
        </plugin>

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,mvn compile
,PrzydzielonyHost,mvn test
,PrzydzielonyHost,mvn verify
,PrzydzielonyHost,mvn org.pitest:pitest-maven:mutationCoverage
,PrzydzielonyHost,cd target/pit-reports/*
,PrzydzielonyHost,"python3 -m http.server 8888
# Aby wyłączyć server wciśnij kombinację klawiszy `ctrl+c`"
,Przeglądarka,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:8888
- Przeglądnij raport Pitest"
,PrzydzielonyHost,cd /home/src/java/
,PrzydzielonyHost,git add pom.xml
,PrzydzielonyHost,"git commit -m ""Mutation Testing"""
,PrzydzielonyHost,git pull --rebase
,PrzydzielonyHost,"git push
# username: root
# hasło: abcdefghi"
,-,PITest - SonarQube
,PrzydzielonyHost,cd /home/src/java/
